id,category,type,en,fr
LIT_07,literature,factual,Why do stories use conflict?,Pourquoi les histoires utilisent-elles le conflit ?
LIT_08,literature,factual,What is dramatic irony?,Qu’est-ce que l’ironie dramatique ?
LIT_09,literature,factual,How does setting influence a story?,Comment le cadre (lieu et époque) influence-t-il une histoire ?
LIT_10,literature,factual,What makes a story a tragedy?,Qu’est-ce qui fait d’une histoire une tragédie ?
LIT_11,literature,factual,What is the purpose of dialogue?,Quel est le rôle des dialogues ?
LIT_12,literature,factual,How does perspective shape a narrative?,Comment le point de vue façonne-t-il un récit ?
LIT_13,literature,factual,What is a theme in literature?,Qu’est-ce qu’un thème en littérature ?
LIT_14,literature,factual,Why are myths important in cultures?,Pourquoi les mythes sont-ils importants dans les cultures ?
LIT_15,literature,factual,What distinguishes fiction from non-fiction?,Qu’est-ce qui distingue la fiction de la non-fiction ?
LIT_16,literature,factual,What is satire?,Qu’est-ce que la satire ?
LIT_17,literature,factual,How do authors build suspense?,Comment les auteurs créent-ils du suspense ?
LIT_18,literature,factual,What is a plot twist?,Qu’est-ce qu’un retournement de situation ?
LIT_19,literature,factual,Why do people read literature?,Pourquoi les gens lisent-ils de la littérature ?
LIT_20,literature,factual,What is literary realism?,Qu’est-ce que le réalisme littéraire ?
GEO_01,travels_and_geography,factual,What is the difference between a country and a continent?,Quelle est la différence entre un pays et un continent ?
GEO_02,travels_and_geography,factual,How are mountains formed?,Comment les montagnes se forment-elles ?
GEO_03,travels_and_geography,factual,What causes deserts to form?,Qu’est-ce qui provoque la formation des déserts ?
GEO_04,travels_and_geography,factual,What is a peninsula?,Qu’est-ce qu’une péninsule ?
GEO_05,travels_and_geography,factual,Why do some regions experience monsoons?,Pourquoi certaines régions connaissent-elles des moussons ?
GEO_06,travels_and_geography,factual,What is the equator?,Qu’est-ce que l’équateur ?
GEO_07,travels_and_geography,factual,How do rivers shape landscapes?,Comment les rivières façonnent-elles les paysages ?
GEO_08,travels_and_geography,factual,What defines a tropical climate?,Qu’est-ce qui caractérise un climat tropical ?
GEO_09,travels_and_geography,factual,What is urbanization?,Qu’est-ce que l’urbanisation ?
GEO_10,travels_and_geography,factual,Why do cities develop near water?,Pourquoi les villes se développent-elles près de l’eau ?
GEO_11,travels_and_geography,factual,What is a time zone?,Qu’est-ce qu’un fuseau horaire ?
GEO_12,travels_and_geography,factual,What causes volcanic islands?,Qu’est-ce qui provoque la formation d’îles volcaniques ?
GEO_13,travels_and_geography,factual,What is the difference between latitude and longitude?,Quelle est la différence entre la latitude et la longitude ?
GEO_14,travels_and_geography,factual,Why do people migrate?,Pourquoi les gens migrent-ils ?
GEO_15,travels_and_geography,factual,What is cultural tourism?,Qu’est-ce que le tourisme culturel ?
GEO_16,travels_and_geography,factual,What defines a capital city?,Qu’est-ce qui définit une capitale ?
GEO_17,travels_and_geography,factual,How does climate affect agriculture?,Comment le climat affecte-t-il l’agriculture ?
GEO_18,travels_and_geography,factual,What is a delta?,Qu’est-ce qu’un delta ?
GEO_19,travels_and_geography,factual,What is sustainable travel?,Qu’est-ce que le voyage durable ?
GEO_20,travels_and_geography,factual,Why are some regions prone to hurricanes?,Pourquoi certaines régions sont-elles sujettes aux ouragans ?
HIS_01,history,factual,What is a revolution?,Qu’est-ce qu’une révolution ?
HIS_02,history,factual,Why do empires rise and fall?,Pourquoi les empires s’élèvent-ils et s’effondrent-ils ?
HIS_03,history,factual,What caused World War I?,Qu’est-ce qui a causé la Première Guerre mondiale ?
HIS_04,history,factual,What is industrialization?,Qu’est-ce que l’industrialisation ?
HIS_05,history,factual,Why are primary sources important in history?,Pourquoi les sources primaires sont-elles importantes en histoire ?
HIS_06,history,factual,What was the Renaissance?,Qu’était la Renaissance ?
HIS_07,history,factual,What defines a democracy?,Qu’est-ce qui définit une démocratie ?
HIS_08,history,factual,What was the Silk Road?,Qu’était la Route de la soie ?
HIS_09,history,factual,Why did colonialism expand in the 19th century?,Pourquoi le colonialisme s’est-il étendu au XIXe siècle ?
HIS_10,history,factual,What is a constitution?,Qu’est-ce qu’une constitution ?
HIS_11,history,factual,How do historians interpret events?,Comment les historiens interprètent-ils les événements ?
HIS_12,history,factual,What caused the Great Depression?,Qu’est-ce qui a causé la Grande Dépression ?
HIS_13,history,factual,What is the Cold War?,Qu’est-ce que la Guerre froide ?
HIS_14,history,factual,Why do historical narratives differ?,Pourquoi les récits historiques diffèrent-ils ?
HIS_15,history,factual,What is feudalism?,Qu’est-ce que le féodalisme ?
HIS_16,history,factual,What role did trade play in ancient civilizations?,Quel rôle le commerce a-t-il joué dans les civilisations anciennes ?
HIS_17,history,factual,What is nationalism?,Qu’est-ce que le nationalisme ?
HIS_18,history,factual,Why are historical archives important?,Pourquoi les archives historiques sont-elles importantes ?
HIS_19,history,factual,What defines a civil war?,Qu’est-ce qui définit une guerre civile ?
HIS_20,history,factual,How does technology change warfare?,Comment la technologie transforme-t-elle la guerre ?
FOO_01,food_and_drink,factual,What is fermentation?,Qu’est-ce que la fermentation ?
FOO_02,food_and_drink,factual,How does yeast make bread rise?,Comment la levure fait-elle lever le pain ?
FOO_03,food_and_drink,factual,What is a balanced diet?,Qu’est-ce qu’une alimentation équilibrée ?
FOO_04,food_and_drink,factual,Why does salt enhance flavor?,Pourquoi le sel rehausse-t-il le goût ?
FOO_05,food_and_drink,factual,What is pasteurization?,Qu’est-ce que la pasteurisation ?
FOO_06,food_and_drink,factual,How is cheese made?,Comment fabrique-t-on le fromage ?
FOO_07,food_and_drink,factual,What is the difference between baking and roasting?,Quelle est la différence entre cuire au four et rôtir ?
FOO_08,food_and_drink,factual,Why do fruits ripen?,Pourquoi les fruits mûrissent-ils ?
FOO_09,food_and_drink,factual,What is umami?,Qu’est-ce que l’umami ?
FOO_10,food_and_drink,factual,How does caffeine affect the body?,Comment la caféine affecte-t-elle le corps ?
FOO_11,food_and_drink,factual,What is a spice?,Qu’est-ce qu’une épice ?
FOO_12,food_and_drink,factual,Why do oils and water not mix?,Pourquoi l’huile et l’eau ne se mélangent-elles pas ?
FOO_13,food_and_drink,factual,What is food preservation?,Qu’est-ce que la conservation des aliments ?
FOO_14,food_and_drink,factual,How does freezing preserve food?,Comment la congélation conserve-t-elle les aliments ?
FOO_15,food_and_drink,factual,What makes chocolate melt?,Qu’est-ce qui fait fondre le chocolat ?
FOO_16,food_and_drink,factual,What is a marinade?,Qu’est-ce qu’une marinade ?
FOO_17,food_and_drink,factual,Why is hydration important?,Pourquoi l’hydratation est-elle importante ?
FOO_18,food_and_drink,factual,What is food sustainability?,Qu’est-ce que la durabilité alimentaire ?
FOO_19,food_and_drink,factual,How does grilling change flavor?,Comment la cuisson au gril change-t-elle les saveurs ?
FOO_20,food_and_drink,factual,What is plant-based nutrition?,Qu’est-ce que l’alimentation à base de plantes ?
JOB_01,jobs_and_workplace,factual,What makes a good leader?,Qu’est-ce qui fait un bon leader ?
JOB_02,jobs_and_workplace,factual,How can teams resolve conflict?,Comment les équipes peuvent-elles résoudre les conflits ?
JOB_03,jobs_and_workplace,factual,What is professional accountability?,Qu’est-ce que la responsabilité professionnelle ?
JOB_04,jobs_and_workplace,factual,Why is communication important at work?,Pourquoi la communication est-elle importante au travail ?
JOB_05,jobs_and_workplace,factual,What is constructive feedback?,Qu’est-ce qu’un retour constructif ?
JOB_06,jobs_and_workplace,factual,How can someone prepare for a job interview?,Comment se préparer à un entretien d’embauche ?
JOB_07,jobs_and_workplace,factual,What is work-life balance?,Qu’est-ce que l’équilibre vie professionnelle / vie personnelle ?
JOB_08,jobs_and_workplace,factual,How do organizations measure performance?,Comment les organisations mesurent-elles la performance ?
JOB_09,jobs_and_workplace,factual,What is remote work?,Qu’est-ce que le travail à distance ?
JOB_10,jobs_and_workplace,factual,Why is diversity important in the workplace?,Pourquoi la diversité est-elle importante au travail ?
JOB_11,jobs_and_workplace,factual,What is time management?,Qu’est-ce que la gestion du temps ?
JOB_12,jobs_and_workplace,factual,How can someone develop new skills?,Comment développer de nouvelles compétences ?
JOB_13,jobs_and_workplace,factual,What is organizational culture?,Qu’est-ce que la culture d’entreprise ?
JOB_14,jobs_and_workplace,factual,Why is collaboration important?,Pourquoi la collaboration est-elle importante ?
JOB_15,jobs_and_workplace,factual,What is ethical decision-making at work?,Qu’est-ce que la prise de décision éthique au travail ?
JOB_16,jobs_and_workplace,factual,How can stress be managed at work?,Comment gérer le stress au travail ?
JOB_17,jobs_and_workplace,factual,What is mentorship?,Qu’est-ce que le mentorat ?
JOB_18,jobs_and_workplace,factual,Why is goal-setting useful?,Pourquoi la fixation d’objectifs est-elle utile ?
JOB_19,jobs_and_workplace,factual,What is professional development?,Qu’est-ce que le développement professionnel ?
JOB_20,jobs_and_workplace,factual,How does automation affect jobs?,Comment l’automatisation affecte-t-elle les emplois ?
HLT_01,health_and_habits,factual,Why is sleep important?,Pourquoi le sommeil est-il important ?
HLT_02,health_and_habits,factual,What are the benefits of regular exercise?,Quels sont les bénéfices de l’exercice régulier ?
HLT_03,health_and_habits,factual,How does stress affect the body?,Comment le stress affecte-t-il le corps ?
HLT_04,health_and_habits,factual,What is a healthy habit?,Qu’est-ce qu’une habitude saine ?
HLT_05,health_and_habits,factual,Why is hydration important?,Pourquoi l’hydratation est-elle importante ?
HLT_06,health_and_habits,factual,How does meditation affect mental health?,Comment la méditation affecte-t-elle la santé mentale ?
HLT_07,health_and_habits,factual,What is a balanced diet?,Qu’est-ce qu’une alimentation équilibrée ?
HLT_08,health_and_habits,factual,Why do people form habits?,Pourquoi les gens forment-ils des habitudes ?
HLT_09,health_and_habits,factual,How does smoking affect health?,Comment le tabagisme affecte-t-il la santé ?
HLT_10,health_and_habits,factual,What is preventive healthcare?,Qu’est-ce que les soins préventifs ?
HLT_11,health_and_habits,factual,Why is vaccination important?,Pourquoi la vaccination est-elle importante ?
HLT_12,health_and_habits,factual,What is mental well-being?,Qu’est-ce que le bien-être mental ?
HLT_13,health_and_habits,factual,How does sugar affect the body?,Comment le sucre affecte-t-il le corps ?
HLT_14,health_and_habits,factual,What are the benefits of walking daily?,Quels sont les bénéfices de marcher chaque jour ?
HLT_15,health_and_habits,factual,Why is posture important?,Pourquoi la posture est-elle importante ?
HLT_16,health_and_habits,factual,What is immunity?,Qu’est-ce que l’immunité ?
HLT_17,health_and_habits,factual,How does alcohol affect the liver?,Comment l’alcool affecte-t-il le foie ?
HLT_18,health_and_habits,factual,Why are routine checkups important?,Pourquoi les bilans de santé réguliers sont-ils importants ?
HLT_19,health_and_habits,factual,What is emotional resilience?,Qu’est-ce que la résilience émotionnelle ?
HLT_20,health_and_habits,factual,How can someone build a healthy routine?,Comment construire une routine saine ?
TEC_01,technology,factual,What is artificial intelligence?,Qu’est-ce que l’intelligence artificielle ?
TEC_02,technology,factual,How does machine learning work?,Comment fonctionne l’apprentissage automatique ?
TEC_03,technology,factual,What is a neural network?,Qu’est-ce qu’un réseau de neurones ?
TEC_04,technology,factual,What is encryption?,Qu’est-ce que le chiffrement ?
TEC_05,technology,factual,How does cloud computing work?,Comment fonctionne l’informatique en nuage ?
TEC_06,technology,factual,What is open-source software?,Qu’est-ce que le logiciel libre (open source) ?
TEC_07,technology,factual,How does a search engine work?,Comment fonctionne un moteur de recherche ?
TEC_08,technology,factual,What is cybersecurity?,Qu’est-ce que la cybersécurité ?
TEC_09,technology,factual,What is blockchain?,Qu’est-ce que la blockchain ?
TEC_10,technology,factual,How does GPS work?,Comment fonctionne le GPS ?
TEC_11,technology,factual,What is a database?,Qu’est-ce qu’une base de données ?
TEC_12,technology,factual,What is an algorithm?,Qu’est-ce qu’un algorithme ?
TEC_13,technology,factual,How does a smartphone connect to the internet?,Comment un smartphone se connecte-t-il à Internet ?
TEC_14,technology,factual,What is digital privacy?,Qu’est-ce que la confidentialité numérique ?
TEC_15,technology,factual,What is data compression?,Qu’est-ce que la compression de données ?
TEC_16,technology,factual,What is edge computing?,Qu’est-ce que l’informatique en périphérie (edge computing) ?
TEC_17,technology,factual,How do recommendation systems work?,Comment fonctionnent les systèmes de recommandation ?
TEC_18,technology,factual,What is quantum computing?,Qu’est-ce que l’informatique quantique ?
TEC_19,technology,factual,What is automation?,Qu’est-ce que l’automatisation ?
TEC_20,technology,factual,What is human-computer interaction?,Qu’est-ce que l’interaction homme-machine ?
